player,game,pts,p_att,p_cmp,p_yds,p_td,p_int,p_2pts,rush_att,rush_yds,rush_td,rush_2pts,receptions,rec_yds,rec_td,rec_2pts,fumbles,fumble_td,week
Michael ThomasM. Thomas,TB@NO,39.00,0,0,0,0,0,0,0,0,0,0,16,180,1,0,1,0,1
Tyreek HillT. Hill,KC@LAC,35.00,0,0,0,0,0,0,2,4,0,0,7,169,2,0,0,0,1
DeSean JacksonD. Jackson,TB@NO,31.00,0,0,0,0,0,0,0,0,0,0,5,146,2,0,0,0,1
Emmanuel SandersE. Sanders,SEA@DEN,29.00,0,0,0,0,0,0,0,0,0,0,10,135,1,0,0,0,1
Randall CobbR. Cobb,CHI@GB,29.00,0,0,0,0,0,0,0,0,0,0,9,142,1,0,0,0,1
Julio JonesJ. Jones,ATL@PHI,27.00,0,0,0,0,0,0,1,11,0,0,10,169,0,0,0,0,1
Mike EvansM. Evans,TB@NO,27.00,0,0,0,0,0,0,0,0,0,0,7,147,1,0,0,0,1
Kenny StillsK. Stills,TEN@MIA,26.00,0,0,0,0,0,0,0,0,0,0,4,106,2,0,0,0,1
Antonio BrownA. Brown,PIT@CLE,24.00,0,0,0,0,0,0,0,0,0,0,9,93,1,0,0,0,1
Keenan AllenK. Allen,KC@LAC,24.00,0,0,0,0,0,0,0,0,0,0,8,108,1,0,0,0,1
Odell Beckham Jr.O. Beckham,JAX@NYG,22.00,0,0,0,0,0,0,1,-1,0,0,11,111,0,0,0,0,1
Golden TateG. Tate,NYJ@DET,20.00,0,0,0,0,0,0,0,0,0,0,7,79,1,0,0,0,1
A.J. GreenA. Green,CIN@IND,20.00,0,0,0,0,0,0,0,0,0,0,6,92,1,0,1,0,1
Ted Ginn Jr.T. Ginn,TB@NO,19.00,0,0,0,0,0,0,1,5,0,0,5,68,1,1,0,0,1
Phillip DorsettP. Dorsett,HOU@NE,19.00,0,0,0,0,0,0,0,0,0,0,7,66,1,0,0,0,1
Davante AdamsD. Adams,CHI@GB,19.00,0,0,0,0,0,0,0,0,0,0,5,88,1,0,0,0,1
Demaryius ThomasD. Thomas,SEA@DEN,18.00,0,0,0,0,0,0,0,0,0,0,6,63,1,0,0,0,1
Kenny GolladayK. Golladay,NYJ@DET,18.00,0,0,0,0,0,0,0,0,0,0,7,114,0,0,0,0,1
Quincy EnunwaQ. Enunwa,NYJ@DET,18.00,0,0,0,0,0,0,0,0,0,0,6,63,1,0,0,0,1
Jarvis LandryJ. Landry,PIT@CLE,17.00,0,0,0,0,0,0,0,0,0,0,7,106,0,0,0,0,1
Cooper KuppC. Kupp,LA@OAK,17.00,0,0,0,0,0,0,2,16,0,0,5,52,1,0,0,0,1
Geronimo AllisonG. Allison,CHI@GB,17.00,0,0,0,0,0,0,0,0,0,0,5,69,1,0,0,0,1
Adam ThielenA. Thielen,SF@MIN,16.00,0,0,0,0,0,0,0,0,0,0,6,102,0,0,0,0,1
JuJu Smith-SchusterJ. Smith-Schuster,PIT@CLE,16.00,0,0,0,0,0,0,0,0,0,0,5,119,0,0,0,0,1
DeAndre HopkinsD. Hopkins,HOU@NE,15.00,0,0,0,0,0,0,1,-7,0,0,8,78,0,0,0,0,1
T.Y. HiltonT. Hilton,CIN@IND,15.00,0,0,0,0,0,0,0,0,0,0,5,46,1,0,0,0,1
Willie SneadW. Snead,BUF@BAL,14.00,0,0,0,0,0,0,0,0,0,0,4,49,1,0,0,0,1
Dante PettisD. Pettis,SF@MIN,14.00,0,0,0,0,0,0,0,0,0,0,2,61,1,0,0,0,1
Tyler LockettT. Lockett,SEA@DEN,14.00,0,0,0,0,0,0,0,0,0,0,3,59,1,0,0,0,1
Larry FitzgeraldL. Fitzgerald,WAS@ARI,14.00,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0,1
Cole BeasleyC. Beasley,DAL@CAR,14.00,0,0,0,0,0,0,0,0,0,0,7,73,0,0,0,0,1
Mike WilliamsM. Williams,KC@LAC,13.00,0,0,0,0,0,0,0,0,0,0,5,81,0,0,0,0,1
Brandon MarshallB. Marshall,SEA@DEN,13.00,0,0,0,0,0,0,0,0,0,0,3,46,1,0,0,0,1
Ryan GrantR. Grant,CIN@IND,13.00,0,0,0,0,0,0,0,0,0,0,8,59,0,0,0,0,1
Chris GodwinC. Godwin,TB@NO,13.00,0,0,0,0,0,0,0,0,0,0,3,41,1,0,0,0,1
Bruce EllingtonB. Ellington,HOU@NE,13.00,0,0,0,0,0,0,0,0,0,0,4,37,1,0,0,0,1
Stefon DiggsS. Diggs,SF@MIN,13.00,0,0,0,0,0,0,1,8,0,0,3,43,1,0,0,0,1
Brandin CooksB. Cooks,LA@OAK,13.00,0,0,0,0,0,0,1,6,0,0,5,87,0,0,0,0,1
John BrownJ. Brown,BUF@BAL,13.00,0,0,0,0,0,0,1,1,0,0,3,44,1,0,0,0,1
Corey DavisC. Davis,TEN@MIA,12.00,0,0,0,0,0,0,0,0,0,0,6,62,0,0,0,0,1
Michael CrabtreeM. Crabtree,BUF@BAL,12.00,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0,0,1
Nelson AgholorN. Agholor,ATL@PHI,12.00,1,1,15,0,0,0,1,16,0,0,8,33,0,0,0,0,1
Robby AndersonR. Anderson,NYJ@DET,11.00,0,0,0,0,0,0,1,-9,0,0,1,41,1,0,0,0,1
Dede WestbrookD. Westbrook,JAX@NYG,10.00,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,0,1
Allen RobinsonA. Robinson,CHI@GB,10.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0,1
Sterling ShepardS. Shepard,JAX@NYG,9.00,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0,1
Marvin JonesM. Jones,NYJ@DET,9.00,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,1
Tyrell WilliamsT. Williams,KC@LAC,8.00,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,1
Jakeem GrantJ. Grant,TEN@MIA,8.00,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0,1
Josh GordonJ. Gordon,PIT@CLE,8.00,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,1
Keelan ColeK. Cole,JAX@NYG,8.00,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0,1
John RossJ. Ross,CIN@IND,7.00,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1
Terrelle PryorT. Pryor,NYJ@DET,7.00,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0,1
Taylor GabrielT. Gabriel,CHI@GB,7.00,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,1
Devin FunchessD. Funchess,DAL@CAR,7.00,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,1
Robert WoodsR. Woods,LA@OAK,6.00,0,0,0,0,0,0,1,6,0,0,3,37,0,0,0,0,1
Albert WilsonA. Wilson,TEN@MIA,6.00,0,0,0,0,0,0,2,7,0,0,3,31,0,0,0,0,1
Trent TaylorT. Taylor,SF@MIN,6.00,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,1
Courtland SuttonC. Sutton,SEA@DEN,6.00,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,1
Paul RichardsonP. Richardson,WAS@ARI,6.00,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,1
Jamison CrowderJ. Crowder,WAS@ARI,6.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,1
Danny AmendolaD. Amendola,TEN@MIA,6.00,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,1
Jarius WrightJ. Wright,DAL@CAR,5.00,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,1
Sammy WatkinsS. Watkins,KC@LAC,5.00,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,1
Deonte ThompsonD. Thompson,DAL@CAR,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,1
Neal SterlingN. Sterling,NYJ@DET,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,1
Mohamed SanuM. Sanu,ATL@PHI,5.00,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,1
Jordy NelsonJ. Nelson,LA@OAK,5.00,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,1
Zay JonesZ. Jones,BUF@BAL,5.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,1
Adam HumphriesA. Humphries,TB@NO,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,1
Tyler BoydT. Boyd,CIN@IND,5.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,1
Chester RogersC. Rogers,CIN@IND,4.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,1
Rashard HigginsR. Higgins,PIT@CLE,4.00,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,1
Pierre GarconP. Garcon,SF@MIN,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,1
Derek CarrierD. Carrier,LA@OAK,4.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,1
Austin CarrA. Carr,TB@NO,4.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,1
Laquon TreadwellL. Treadwell,SF@MIN,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,1
