player,game,pts,p_att,p_cmp,p_yds,p_td,p_int,p_2pts,rush_att,rush_yds,rush_td,rush_2pts,receptions,rec_yds,rec_td,rec_2pts,fumbles,fumble_td,week
Sammy WatkinsS. Watkins,KC@JAX,46.00,0,0,0,0,0,0,0,0,0,0,9,198,3,0,0,0,1
DeSean JacksonD. Jackson,WAS@PHI,35.00,0,0,0,0,0,0,0,0,0,0,8,154,2,0,0,0,1
John RossJ. Ross,CIN@SEA,34.00,0,0,0,0,0,0,0,0,0,0,7,158,2,0,0,0,1
DeAndre HopkinsD. Hopkins,HOU@NO,31.00,0,0,0,0,0,0,0,0,0,0,8,111,2,0,0,0,1
Marquise BrownM. Brown,BAL@MIA,30.00,0,0,0,0,0,0,0,0,0,0,4,147,2,0,0,0,1
T.Y. HiltonT. Hilton,IND@LAC,28.00,0,0,0,0,0,0,0,0,0,0,8,87,2,0,0,0,1
Keenan AllenK. Allen,IND@LAC,26.00,0,0,0,0,0,0,0,0,0,0,8,123,1,0,0,0,1
Larry FitzgeraldL. Fitzgerald,DET@ARI,25.00,0,0,0,0,0,0,0,0,0,0,8,113,1,0,0,0,1
Phillip DorsettP. Dorsett,PIT@NE,25.00,0,0,0,0,0,0,0,0,0,0,4,95,2,0,0,0,1
John BrownJ. Brown,BUF@NYJ,25.00,0,0,0,0,0,0,0,0,0,0,7,123,1,0,0,0,1
D.J. CharkD. Chark,KC@JAX,24.00,0,0,0,0,0,0,0,0,0,0,4,146,1,0,0,0,1
Terry McLaurinT. McLaurin,WAS@PHI,23.00,0,0,0,0,0,0,0,0,0,0,5,125,1,0,0,0,1
Jamison CrowderJ. Crowder,BUF@NYJ,23.00,0,0,0,0,0,0,1,4,0,0,14,99,0,0,0,0,1
Danny AmendolaD. Amendola,DET@ARI,23.00,0,0,0,0,0,0,0,0,0,0,7,104,1,0,0,0,1
Tyrell WilliamsT. Williams,DEN@OAK,22.00,0,0,0,0,0,0,0,0,0,0,6,105,1,0,0,0,1
